Date,BasketUnits
2019-06-11,0.0073453215
2019-06-12,0.0073453215
2019-06-13,5.338514264889442
2019-06-14,10.547532224720054
2019-06-17,15.658892812241977
2019-06-18,20.869470033191295
2019-06-19,26.07695601693503
2019-06-20,31.25443029512277
2019-06-21,36.38599237944518
2019-06-24,41.48344279908376
2019-06-25,46.61242477190749
2019-06-26,51.878028994549595
2019-06-27,57.09512910126085
2019-06-28,62.181363898315176
2019-07-01,67.33988654143943
2019-07-02,72.50408229148702
2019-07-03,77.65239203397584
2019-07-05,82.80987698690201
2019-07-08,87.87978655638805
2019-07-09,92.91870557605613
2019-07-10,97.94611490477192
2019-07-11,102.95679114389299
2019-07-12,107.9265247812603
2019-07-15,112.96852987763002
2019-07-16,117.99793870980383
2019-07-17,123.04756404941577
2019-07-18,128.1521251446098
2019-07-19,133.2252303819291
2019-07-22,138.3460790971726
2019-07-23,143.4865276190055
2019-07-24,148.56289786365537
2019-07-25,153.67720346486846
2019-07-26,158.81082688377515
2019-07-29,164.08202555535095
2019-07-30,169.31590382131327
2019-07-31,174.75588833100196
2019-08-01,180.136032582345
2019-08-02,185.48508864606032
2019-08-05,190.7437833950385
2019-08-06,196.02242331405824
2019-08-07,201.34867703865896
2019-08-08,206.64250285578268
2019-08-09,211.93460413896506
2019-08-12,217.30916509421058
2019-08-13,222.8088950955012
2019-08-14,228.37360384201148
2019-08-15,233.8614122647067
2019-08-16,239.4173616253901
2019-08-19,245.0004436650675
2019-08-20,250.64786150648843
2019-08-21,256.3403486318127
2019-08-22,262.0578547853301
2019-08-23,267.66468268763913
2019-08-26,273.29386830165606
2019-08-27,278.85176743592797
2019-08-28,284.4380592076484
2019-08-29,290.0121945855374
2019-08-30,295.5787204102396
2019-09-03,301.1510820526391
2019-09-04,306.71456564731284
2019-09-05,312.2722964133856
2019-09-06,317.88923442441586
2019-09-09,323.48828418946493
2019-09-10,329.19892921913817
2019-09-11,335.03800091085816
2019-09-12,340.86201140403006
2019-09-13,346.5754223560722
2019-09-16,352.35959193932246
2019-09-17,358.1165866529643
2019-09-18,363.9169851753741
2019-09-19,369.62213543911116
2019-09-20,375.2670643198337
2019-09-23,380.98755528326865
2019-09-24,386.81075502449505
2019-09-25,392.67112750106145
2019-09-26,398.55490749718905
2019-09-27,404.4713521877096
2019-09-30,410.493456105486
2019-10-01,416.6287137351645
2019-10-02,422.69203167641
2019-10-03,428.70084132892606
2019-10-04,434.8041571845981
2019-10-07,440.9404630195411
2019-10-08,447.09701007224317
2019-10-09,453.2396304516864
2019-10-10,459.4358130756457
2019-10-11,465.6685627744348
2019-10-14,471.91369871150897
2019-10-15,478.0103973264277
2019-10-16,484.087769850251
2019-10-17,490.1745854238529
2019-10-18,485.1446730134074
2019-10-21,480.12650797168516
2019-10-22,474.98611677527146
2019-10-23,469.8704168905991
2019-10-24,464.7581820646159
2019-10-25,459.6925291692881
2019-10-28,454.6237172516755
2019-10-29,449.6089113452277
2019-10-30,444.5913289663393
2019-10-31,439.5895931131773
2019-11-01,434.5324385345722
2019-11-04,429.4639957446497
2019-11-05,424.37839902641775
2019-11-06,419.2459229193791
2019-11-07,414.08255772825635
2019-11-08,408.9314949496138
2019-11-11,403.73776120465106
2019-11-12,398.62033642411666
2019-11-13,393.4837154521023
2019-11-14,388.36149473391333
2019-11-15,383.2440410755442
2019-11-18,378.15631674928557
2019-11-19,373.09777494198727
2019-11-20,368.0466766956703
2019-11-21,363.0119559241866
2019-11-22,357.98893660733074
2019-11-25,352.937264609268
2019-11-26,347.89659742115305
2019-11-27,342.8614223440178
2019-11-29,337.82647522182634
2019-12-02,332.80740996791405
2019-12-03,327.84303282978084
2019-12-04,322.84865396052453
2019-12-05,317.8287726400342
2019-12-06,312.77660340382977
2019-12-09,307.769640760938
2019-12-10,302.74086814817315
2019-12-11,297.70885666541113
2019-12-12,292.5672132418507
2019-12-13,287.3632197505759
2019-12-16,282.17668436841865
2019-12-17,276.9867719162904
2019-12-18,271.863131067292
2019-12-19,266.78697616196496
2019-12-20,261.72280259046744
2019-12-23,256.62098078086166
2019-12-24,251.50211400509517
2019-12-26,246.3762072930861
2019-12-27,241.25562429488534
2019-12-30,236.0657245345927
2019-12-31,230.86525646665967
2020-01-02,225.66911521607508
2020-01-03,220.4898363612949
2020-01-06,215.34687173236247
2020-01-07,210.21490842787884
2020-01-08,205.07434831475024
2020-01-09,199.91928330694373
2020-01-10,194.76090474085998
2020-01-13,189.60089988597466
2020-01-14,184.43806995680572
2020-01-15,179.32425515911888
2020-01-16,174.17957365157397
2020-01-17,169.00021410098816
2020-01-21,163.84772944170126
2020-01-22,158.68354605883272
2020-01-23,153.4914022595728
2020-01-24,148.29235052432028
2020-01-27,143.14167504608713
